PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3 POINT MADE,3 POINT ATTEMPTED,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS/MINUS,FP
Shai Gilgeous-Alexander,OKC,OKC @ DAL,02/10/2024,L,29,25,9,16,56.3,0,0,-,7,8,87.5,2,4,6,5,0,1,3,1,-31,39.7
Kevin Durant,PHX,PHX @ GSW,02/10/2024,L,39,24,10,25,40,2,8,25,2,2,100,1,9,10,7,1,2,6,0,0,49.5
Jalen Brunson,NYK,NYK vs. IND,02/10/2024,L,37,39,14,25,56,1,5,20,10,10,100,0,3,3,4,1,0,2,2,-7,49.6
Victor Wembanyama,SAS,SAS @ BKN,02/10/2024,L,29,21,7,16,43.8,3,6,50,4,4,100,0,4,4,3,0,1,4,2,-20,29.3
Wendell Carter Jr.,ORL,ORL vs. CHI,02/10/2024,W,26,6,3,6,50,0,2,0,0,0,-,0,3,3,1,0,1,1,2,-7,13.1
Trae Young,ATL,ATL vs. HOU,02/10/2024,W,33,18,6,16,37.5,2,9,22.2,4,6,66.7,0,4,4,8,2,1,4,3,-1,39.8
Shai Gilgeous-Alexander,OKC,OKC vs. SAC,02/11/2024,W,39,38,15,26,57.7,3,4,75,5,9,55.6,0,3,3,7,1,2,1,0,16,60.1
Jayson Tatum,BOS,BOS @ MIA,02/11/2024,W,39,26,11,20,55,2,6,33.3,2,2,100,1,9,10,9,0,2,1,1,5,56.5
Stephen Curry,GSW,GSW @ UTA,02/12/2024,W,32,25,9,19,47.4,7,16,43.8,0,0,-,0,6,6,10,3,1,1,1,30,58.2
James Harden,LAC,LAC vs. MIN,02/12/2024,L,32,17,5,13,38.5,3,8,37.5,4,5,80,0,2,2,6,1,1,0,0,-9,34.4
Tyrese Maxey,PHI,PHI @ CLE,02/12/2024,W,42,22,9,21,42.9,2,5,40,2,4,50,1,3,4,9,0,0,4,5,-2,36.3
Giannis Antetokounmpo,MIL,MIL vs. DEN,02/12/2024,W,30,36,14,19,73.7,0,0,-,8,14,57.1,4,14,18,5,3,2,2,2,18,78.1
Anthony Edwards,MIN,MIN @ LAC,02/12/2024,W,32,23,8,18,44.4,1,11,9.1,6,6,100,0,7,7,8,1,0,1,2,18,45.4
Jalen Brunson,NYK,NYK @ HOU,02/12/2024,L,39,27,10,25,40,2,6,33.3,5,8,62.5,0,4,4,7,0,0,5,4,-1,37.3
Victor Wembanyama,SAS,SAS @ TOR,02/12/2024,W,29,27,10,14,71.4,2,4,50,5,6,83.3,2,12,14,5,2,10,7,2,20,80.3
Trae Young,ATL,ATL vs. CHI,02/12/2024,L,36,19,3,14,21.4,2,10,20,11,12,91.7,0,3,3,14,0,0,2,1,-14,41.6
LeBron James,LAL,LAL vs. DET,02/13/2024,W,31,25,9,15,60,3,6,50,4,4,100,0,1,1,8,0,0,4,0,9,34.2
Giannis Antetokounmpo,MIL,MIL vs. MIA,02/13/2024,L,34,23,11,18,61.1,1,2,50,0,0,-,2,9,11,8,0,2,5,0,-23,49.2
Shai Gilgeous-Alexander,OKC,OKC @ ORL,02/13/2024,W,34,32,11,24,45.8,1,1,100,9,10,90,0,3,3,5,2,1,1,5,0,51.1
Anthony Edwards,MIN,MIN @ POR,02/13/2024,W,34,41,16,27,59.3,4,8,50,5,5,100,0,4,4,2,2,1,2,1,16,55.8
Kevin Durant,PHX,PHX vs. SAC,02/13/2024,W,38,28,11,17,64.7,2,5,40,4,6,66.7,2,9,11,4,1,0,3,2,8,47.2
Jayson Tatum,BOS,BOS @ BKN,02/13/2024,W,39,41,14,26,53.8,5,11,45.5,8,8,100,0,14,14,5,2,1,2,3,21,72.3
Wendell Carter Jr.,ORL,ORL vs. OKC,02/13/2024,L,31,22,9,14,64.3,1,4,25,3,3,100,0,6,6,1,0,0,3,5,2,27.7
Stephen Curry,GSW,GSW vs. LAC,02/14/2024,L,35,41,15,31,48.4,9,19,47.4,2,2,100,1,3,4,5,0,0,4,3,-6,49.3
James Harden,LAC,LAC @ GSW,02/14/2024,W,40,26,7,12,58.3,4,9,44.4,8,9,88.9,2,6,8,7,0,1,1,0,13,48.1
Tyrese Maxey,PHI,PHI vs. MIA,02/14/2024,L,39,30,12,23,52.2,2,7,28.6,4,4,100,1,5,6,7,0,0,3,2,-3,44.7
