PLAYER,MATCH UP,GAME DATE,W/L,MIN,PTS
Tyrese Maxey,PHI vs. TOR,12/22/2023,W,41,33
Joel Embiid,PHI vs. TOR,12/22/2023,W,35,31
Kevin Durant,PHX @ SAC,12/22/2023,L,34,28
Trae Young,ATL vs. MEM,12/23/2023,L,41,30
Jayson Tatum,BOS @ LAC,12/23/2023,W,30,30
Stephen Curry,GSW vs. POR,12/23/2023,W,30,27
James Harden,LAC vs. BOS,12/23/2023,L,29,14
LeBron James,LAL @ OKC,12/23/2023,W,37,40
Giannis Antetokounmpo,MIL @ NYK,12/23/2023,W,32,28
Anthony Edwards,MIN @ SAC,12/23/2023,W,39,34
Jalen Brunson,NYK vs. MIL,12/23/2023,L,37,36
Shai Gilgeous-Alexander,OKC vs. LAL,12/23/2023,L,38,34
Wendell Carter Jr.,ORL @ IND,12/23/2023,W,16,4
Jayson Tatum,BOS @ LAL,12/25/2023,W,41,25
Stephen Curry,GSW @ DEN,12/25/2023,L,34,18
LeBron James,LAL vs. BOS,12/25/2023,L,37,16
Giannis Antetokounmpo,MIL @ NYK,12/25/2023,L,39,32
Jalen Brunson,NYK vs. MIL,12/25/2023,W,37,38
Tyrese Maxey,PHI @ MIA,12/25/2023,L,44,12
Kevin Durant,PHX vs. DAL,12/25/2023,L,43,16
Trae Young,ATL @ CHI,12/26/2023,L,40,21
James Harden,LAC vs. CHA,12/26/2023,W,40,29
Anthony Edwards,MIN @ OKC,12/26/2023,L,34,25
Shai Gilgeous-Alexander,OKC vs. MIN,12/26/2023,W,33,34
Wendell Carter Jr.,ORL @ WAS,12/26/2023,W,21,6
Victor Wembanyama,SAS vs. UTA,12/26/2023,L,24,15
Giannis Antetokounmpo,MIL @ BKN,12/27/2023,W,30,32
Jalen Brunson,NYK @ OKC,12/27/2023,L,37,24
Shai Gilgeous-Alexander,OKC vs. NYK,12/27/2023,W,36,36
Wendell Carter Jr.,ORL vs. PHI,12/27/2023,L,22,4
Tyrese Maxey,PHI @ ORL,12/27/2023,W,34,23
Kevin Durant,PHX @ HOU,12/27/2023,W,41,27
Jayson Tatum,BOS vs. DET,12/28/2023,W,43,31
Stephen Curry,GSW vs. MIA,12/28/2023,L,32,13
LeBron James,LAL vs. CHA,12/28/2023,W,25,17
Anthony Edwards,MIN vs. DAL,12/28/2023,W,38,44
Victor Wembanyama,SAS @ POR,12/28/2023,W,24,30
Trae Young,ATL vs. SAC,12/29/2023,L,38,24
James Harden,LAC vs. MEM,12/29/2023,W,44,16
Giannis Antetokounmpo,MIL @ CLE,12/29/2023,W,37,34
Jalen Brunson,NYK @ ORL,12/29/2023,L,34,20
Shai Gilgeous-Alexander,OKC @ DEN,12/29/2023,W,33,40
Tyrese Maxey,PHI @ HOU,12/29/2023,W,41,42
Kevin Durant,PHX vs. CHA,12/29/2023,W,39,21
Stephen Curry,GSW vs. DAL,12/30/2023,L,35,25
LeBron James,LAL @ MIN,12/30/2023,L,39,26
Anthony Edwards,MIN vs. LAL,12/30/2023,W,38,31
Jalen Brunson,NYK @ IND,12/30/2023,L,41,28
Tyrese Maxey,PHI @ CHI,12/30/2023,L,35,20
Trae Young,ATL @ WAS,12/31/2023,W,40,40
Jayson Tatum,BOS @ SAS,12/31/2023,W,31,25
LeBron James,LAL @ NOP,12/31/2023,L,37,34
Shai Gilgeous-Alexander,OKC vs. BKN,12/31/2023,W,35,24
Wendell Carter Jr.,ORL @ PHX,12/31/2023,L,24,17
Kevin Durant,PHX vs. ORL,12/31/2023,W,39,31
Victor Wembanyama,SAS vs. BOS,12/31/2023,L,24,21
James Harden,LAC vs. MIA,01/01/2024,W,31,15
Giannis Antetokounmpo,MIL vs. IND,01/01/2024,L,37,30
Anthony Edwards,MIN @ NYK,01/01/2024,L,38,35
Jalen Brunson,NYK vs. MIN,01/01/2024,W,41,16
Jayson Tatum,BOS @ OKC,01/02/2024,L,38,30
Stephen Curry,GSW vs. ORL,01/02/2024,W,35,36
Shai Gilgeous-Alexander,OKC vs. BOS,01/02/2024,W,37,36
Wendell Carter Jr.,ORL @ GSW,01/02/2024,L,20,6
Tyrese Maxey,PHI vs. CHI,01/02/2024,W,29,21
Joel Embiid,PHI vs. CHI,01/02/2024,W,31,31
Victor Wembanyama,SAS @ MEM,01/02/2024,L,26,20
Trae Young,ATL vs. OKC,01/03/2024,W,34,24
James Harden,LAC @ PHX,01/03/2024,W,36,22
LeBron James,LAL vs. MIA,01/03/2024,L,38,12
Giannis Antetokounmpo,MIL @ IND,01/03/2024,L,36,26
Anthony Edwards,MIN vs. NOP,01/03/2024,L,37,35
Jalen Brunson,NYK vs. CHI,01/03/2024,W,38,31
Shai Gilgeous-Alexander,OKC @ ATL,01/03/2024,L,35,33
Wendell Carter Jr.,ORL @ SAC,01/03/2024,L,21,9
Stephen Curry,GSW vs. DEN,01/04/2024,L,35,30
Giannis Antetokounmpo,MIL @ SAS,01/04/2024,W,40,44
Victor Wembanyama,SAS vs. MIL,01/04/2024,L,26,27
Trae Young,ATL @ IND,01/05/2024,L,28,13
Jayson Tatum,BOS vs. UTA,01/05/2024,W,25,30
Stephen Curry,GSW vs. DET,01/05/2024,W,31,26
James Harden,LAC @ NOP,01/05/2024,W,29,8
LeBron James,LAL vs. MEM,01/05/2024,L,39,32
Anthony Edwards,MIN @ HOU,01/05/2024,W,33,24
Jalen Brunson,NYK @ PHI,01/05/2024,W,32,29
Shai Gilgeous-Alexander,OKC @ BKN,01/05/2024,L,36,34
